,month,day,hour,pm1.0,pm2.5,pm10.0,temp,humidity,ws,wd,precp
0,6,1,0,12.25,18.5,19.75,27.0,68.0,1.1,110.0,0.0
1,6,1,1,13.25,19.25,20.25,27.0,68.0,1.7,120.0,0.0
2,6,1,2,13.25,19.75,22.5,27.0,69.0,2.1,100.0,0.0
3,6,1,3,12.75,18.0,19.0,26.25,71.0,2.3,170.0,1.5
4,6,1,4,15.0,24.25,27.25,26.0,75.0,1.4,100.0,0.05
5,6,1,5,12.75,18.75,20.25,26.0,75.0,2.4,130.0,0.0
6,6,1,6,11.5,18.0,19.0,26.25,73.5,1.5,120.0,0.0
7,6,1,7,10.25,17.0,17.5,27.25,71.0,0.3,100.0,0.0
8,6,1,8,8.25,13.0,14.75,28.75,65.25,2.3,140.0,0.0
9,6,1,9,8.0,11.75,12.0,29.0,62.25,2.3,170.0,0.0
10,6,1,10,9.75,12.5,13.75,30.25,57.5,2.3,170.0,0.0
11,6,1,11,10.25,15.25,16.75,31.0,56.5,3.1,220.0,0.0
12,6,1,12,5.0,7.75,8.0,30.5,55.75,3.7,230.0,0.0
13,6,1,13,2.0,3.0,3.0,30.0,54.75,4.3,200.0,0.0
14,6,1,14,2.25,4.0,5.75,29.0,58.5,4.7,180.0,0.0
15,6,1,15,2.25,3.25,3.25,29.0,59.25,5.0,180.0,0.0
16,6,1,16,1.25,1.75,2.75,29.0,61.5,5.2,180.0,0.0
17,6,1,17,1.75,2.25,2.25,28.0,64.5,3.9,170.0,0.0
18,6,1,18,2.75,3.5,4.25,27.75,68.75,2.9,170.0,0.0
19,6,1,19,2.5,3.5,4.0,27.0,70.25,2.6,160.0,0.0
20,6,1,20,2.25,3.0,3.25,27.0,70.0,2.5,160.0,0.0
21,6,1,21,1.0,2.0,2.0,27.0,70.25,2.3,160.0,1.0
22,6,1,22,1.75,2.25,3.25,27.0,71.25,2.3,130.0,0.0
23,6,1,23,5.0,8.25,8.5,27.0,70.25,1.7,120.0,0.0
24,6,2,0,4.25,6.25,7.25,27.0,70.5,2.3,120.0,0.0
25,6,2,1,4.25,5.75,6.5,27.0,70.0,2.0,130.0,0.0
26,6,2,2,4.5,6.5,8.0,27.0,70.0,1.6,130.0,0.0
27,6,2,3,4.75,7.25,8.0,27.0,70.75,1.6,130.0,0.0
28,6,2,4,3.75,5.25,5.5,27.0,70.75,1.3,100.0,0.0
29,6,2,5,5.0,7.0,7.5,27.0,70.0,1.1,90.0,0.0
30,6,2,6,4.0,5.75,6.25,27.25,68.25,2.5,70.0,0.0
31,6,2,7,4.75,7.5,8.75,28.0,66.0,2.2,110.0,1.5
32,6,2,8,8.75,12.5,13.5,28.0,69.0,2.3,90.0,0.5
33,6,2,9,6.5,9.5,9.5,28.25,66.75,1.3,130.0,0.0
34,6,2,10,4.25,5.75,6.25,29.5,58.25,2.2,230.0,0.0
35,6,2,11,3.0,4.0,4.5,29.5,56.75,3.0,200.0,0.0
