,month,day,hour,precp
0,6,1,0,0.0
1,6,1,1,0.0
2,6,1,2,0.0
3,6,1,3,1.5
4,6,1,4,0.05
5,6,1,5,0.0
6,6,1,6,0.0
7,6,1,7,0.0
8,6,1,8,0.0
9,6,1,9,0.0
10,6,1,10,0.0
11,6,1,11,0.0
12,6,1,12,0.0
13,6,1,13,0.0
14,6,1,14,0.0
15,6,1,15,0.0
16,6,1,16,0.0
17,6,1,17,0.0
18,6,1,18,0.0
19,6,1,19,0.0
20,6,1,20,0.0
21,6,1,21,1.0
22,6,1,22,0.0
23,6,1,23,0.0
24,6,2,0,0.0
25,6,2,1,0.0
26,6,2,2,0.0
27,6,2,3,0.0
28,6,2,4,0.0
29,6,2,5,0.0
30,6,2,6,0.0
31,6,2,7,1.5
32,6,2,8,0.5
33,6,2,9,0.0
34,6,2,10,0.0
35,6,2,11,0.0
36,6,2,12,0.0
37,6,2,13,0.0
38,6,2,14,0.0
39,6,2,15,0.0
40,6,2,16,0.0
41,6,2,17,0.0
42,6,2,18,0.0
43,6,2,19,0.0
44,6,2,20,0.0
45,6,2,21,0.0
46,6,2,22,0.0
47,6,2,23,0.0
48,6,3,0,0.0
49,6,3,1,0.0
50,6,3,2,0.0
51,6,3,3,0.0
52,6,3,4,0.0
53,6,3,5,0.0
54,6,3,6,0.0
55,6,3,7,0.0
56,6,3,8,0.0
57,6,3,9,0.0
58,6,3,10,0.0
59,6,3,11,0.0
60,6,3,12,0.0
61,6,3,13,0.0
62,6,3,14,0.0
63,6,3,15,0.0
64,6,3,16,0.0
65,6,3,17,0.0
66,6,3,18,0.0
67,6,3,19,0.0
68,6,3,20,0.0
69,6,3,21,0.0
70,6,3,22,0.0
71,6,3,23,0.0
72,6,4,0,0.0
73,6,4,1,0.0
74,6,4,2,0.0
75,6,4,3,0.0
76,6,4,4,0.0
77,6,4,5,0.0
78,6,4,6,0.0
79,6,4,7,0.0
80,6,4,8,0.0
81,6,4,9,12.5
82,6,4,10,2.5
83,6,4,11,1.5
84,6,4,12,0.05
85,6,4,13,0.0
86,6,4,14,0.5
87,6,4,15,2.5
88,6,4,16,0.05
89,6,4,17,0.0
90,6,4,18,0.0
91,6,4,19,0.0
92,6,4,20,0.0
93,6,4,21,0.0
94,6,4,22,0.0
95,6,4,23,0.0
96,6,5,0,0.0
97,6,5,1,0.0
98,6,5,2,0.0
99,6,5,3,0.0
100,6,5,4,0.0
101,6,5,5,0.0
102,6,5,6,0.0
103,6,5,7,0.0
