,month,day,hour,speed
0,6,1,0,1.1
1,6,1,1,1.7
2,6,1,2,2.1
3,6,1,3,2.3
4,6,1,4,1.4
5,6,1,5,2.4
6,6,1,6,1.5
7,6,1,7,0.3
8,6,1,8,2.3
9,6,1,9,2.3
10,6,1,10,2.3
11,6,1,11,3.1
12,6,1,12,3.7
13,6,1,13,4.3
14,6,1,14,4.7
15,6,1,15,5.0
16,6,1,16,5.2
17,6,1,17,3.9
18,6,1,18,2.9
19,6,1,19,2.6
20,6,1,20,2.5
21,6,1,21,2.3
22,6,1,22,2.3
23,6,1,23,1.7
24,6,2,0,2.3
25,6,2,1,2.0
26,6,2,2,1.6
27,6,2,3,1.6
28,6,2,4,1.3
29,6,2,5,1.1
30,6,2,6,2.5
31,6,2,7,2.2
32,6,2,8,2.3
33,6,2,9,1.3
34,6,2,10,2.2
35,6,2,11,3.0
36,6,2,12,3.3
37,6,2,13,3.2
38,6,2,14,3.1
39,6,2,15,3.1
40,6,2,16,3.0
41,6,2,17,2.2
42,6,2,18,2.0
43,6,2,19,2.5
44,6,2,20,1.9
45,6,2,21,1.6
46,6,2,22,1.8
47,6,2,23,1.1
48,6,3,0,2.0
49,6,3,1,1.4
50,6,3,2,2.1
51,6,3,3,1.8
52,6,3,4,1.2
53,6,3,5,0.7
54,6,3,6,1.6
55,6,3,7,2.6
56,6,3,8,2.7
57,6,3,9,3.7
58,6,3,10,3.2
59,6,3,11,2.4
60,6,3,12,3.0
61,6,3,13,1.5
62,6,3,14,2.9
63,6,3,15,2.7
64,6,3,16,1.5
65,6,3,17,1.3
66,6,3,18,1.0
67,6,3,19,1.1
68,6,3,20,2.0
69,6,3,21,2.0
70,6,3,22,1.5
71,6,3,23,2.1
72,6,4,0,1.3
73,6,4,1,2.4
74,6,4,2,1.3
75,6,4,3,1.9
76,6,4,4,1.8
77,6,4,5,2.0
78,6,4,6,1.8
79,6,4,7,1.2
80,6,4,8,1.8
81,6,4,9,1.3
82,6,4,10,0.9
83,6,4,11,1.7
84,6,4,12,2.2
85,6,4,13,0.9
86,6,4,14,3.3
87,6,4,15,2.0
88,6,4,16,1.5
89,6,4,17,2.4
90,6,4,18,1.6
91,6,4,19,0.1
92,6,4,20,1.3
93,6,4,21,1.0
94,6,4,22,0.8
95,6,4,23,0.8
96,6,5,0,1.1
97,6,5,1,1.4
98,6,5,2,0.1
99,6,5,3,0.1
100,6,5,4,0.9
101,6,5,5,1.1
102,6,5,6,1.9
103,6,5,7,2.2
104,6,5,8,2.0
105,6,5,9,1.9
106,6,5,10,2.7
107,6,5,11,2.1
108,6,5,12,3.1
109,6,5,13,2.5
110,6,5,14,2.6
111,6,5,15,2.2
112,6,5,16,2.5
113,6,5,17,1.8
114,6,5,18,1.9
115,6,5,19,0.1
116,6,5,20,0.8
117,6,5,21,2.2
118,6,5,22,0.4
119,6,5,23,1.8
120,6,6,0,1.7
121,6,6,1,1.8
122,6,6,2,2.9
123,6,6,3,2.0
124,6,6,4,1.3
125,6,6,5,1.7
126,6,6,6,2.9
127,6,6,7,3.1
128,6,6,8,3.8
129,6,6,9,5.6
130,6,6,10,4.7
131,6,6,11,5.2
132,6,6,12,5.8
133,6,6,13,5.7
134,6,6,14,5.8
135,6,6,15,5.6
136,6,6,16,4.2
137,6,6,17,3.4
138,6,6,18,2.8
139,6,6,19,2.7
140,6,6,20,3.1
141,6,6,21,3.0
142,6,6,22,2.9
143,6,6,23,2.3
144,6,9,0,2.5
145,6,9,1,1.7
146,6,9,2,2.5
147,6,9,3,1.6
148,6,9,4,2.4
149,6,9,5,2.9
150,6,9,6,1.8
151,6,9,7,3.2
152,6,9,8,0.2
153,6,9,9,1.4
154,6,9,10,2.6
155,6,9,11,4.5
156,6,9,12,1.6
157,6,9,13,2.7
158,6,9,14,3.6
159,6,9,15,1.8
160,6,9,16,1.9
161,6,9,17,0.9
162,6,9,18,1.4
163,6,9,19,1.0
164,6,9,20,1.9
165,6,9,21,2.3
166,6,9,22,2.7
167,6,9,23,1.7
168,6,10,0,2.1
169,6,10,1,1.3
170,6,10,2,1.8
171,6,10,3,1.3
172,6,10,4,1.1
173,6,10,5,2.0
174,6,10,6,1.9
175,6,10,7,1.9
176,6,10,8,2.5
177,6,10,9,3.0
178,6,10,10,3.8
179,6,10,11,3.4
180,6,10,12,2.2
181,6,10,13,2.3
182,6,10,14,4.3
183,6,10,15,1.6
184,6,10,16,3.0
185,6,10,17,2.6
186,6,10,18,3.0
187,6,10,19,3.3
188,6,10,20,2.9
189,6,10,21,2.9
190,6,10,22,3.6
191,6,10,23,2.7
192,6,11,0,3.0
193,6,11,1,3.8
194,6,11,2,2.2
195,6,11,3,3.3
196,6,11,4,3.5
197,6,11,5,3.0
198,6,11,6,3.8
199,6,11,7,4.1
200,6,11,8,3.8
201,6,11,9,2.0
202,6,11,10,3.9
203,6,11,11,2.5
204,6,11,12,1.9
205,6,11,13,1.7
206,6,11,14,2.2
207,6,11,15,1.4
208,6,11,16,2.2
209,6,11,17,2.5
210,6,11,18,2.6
211,6,11,19,1.3
212,6,11,20,0.1
213,6,11,21,1.6
214,6,11,22,1.6
215,6,11,23,2.8
216,6,12,0,2.0
217,6,12,1,1.1
218,6,12,2,2.9
219,6,12,3,0.5
220,6,12,4,1.9
221,6,12,5,3.9
222,6,12,6,3.7
223,6,12,7,2.5
224,6,12,8,3.2
225,6,12,9,3.3
226,6,12,10,4.1
227,6,12,11,3.3
228,6,12,12,2.8
229,6,12,13,2.7
230,6,12,14,2.8
231,6,12,15,2.3
232,6,12,16,1.6
233,6,12,17,2.4
234,6,12,18,1.3
235,6,12,19,1.1
236,6,12,20,1.1
237,6,12,21,1.7
238,6,12,22,0.9
239,6,12,23,0.2
240,6,13,0,1.1
241,6,13,1,1.0
242,6,13,2,1.4
243,6,13,3,1.8
244,6,13,4,1.7
245,6,13,5,2.8
246,6,13,6,1.6
247,6,13,7,1.4
248,6,13,8,1.3
249,6,13,9,1.5
250,6,13,10,2.2
251,6,13,11,4.0
252,6,13,12,4.8
253,6,13,13,4.7
254,6,13,14,3.2
255,6,13,15,4.0
256,6,13,16,3.3
257,6,13,17,2.9
258,6,13,18,2.5
259,6,13,19,1.5
260,6,13,20,3.0
261,6,13,21,1.0
262,6,13,22,2.9
263,6,13,23,2.0
264,6,14,0,3.8
265,6,14,1,1.8
266,6,14,2,1.4
267,6,14,3,2.9
268,6,14,4,1.0
269,6,14,5,2.7
270,6,14,6,2.0
271,6,14,7,2.0
272,6,14,8,1.8
273,6,14,9,1.0
274,6,14,10,3.4
275,6,14,11,1.7
276,6,14,12,2.5
277,6,14,13,2.4
278,6,14,14,1.8
279,6,14,15,1.4
280,6,14,16,3.0
281,6,14,17,3.7
282,6,14,18,3.8
283,6,14,19,3.6
284,6,14,20,2.2
285,6,14,21,1.8
286,6,14,22,1.3
287,6,14,23,0.3
288,6,15,0,2.0
289,6,15,1,2.2
290,6,15,2,2.6
291,6,15,3,2.0
292,6,15,4,2.0
293,6,15,5,1.5
294,6,15,6,2.2
295,6,15,7,2.0
296,6,15,8,2.2
297,6,15,9,2.8
298,6,15,10,1.6
299,6,15,11,2.2
300,6,15,12,3.2
301,6,15,13,4.1
302,6,15,14,4.2
303,6,15,15,2.4
304,6,15,16,1.9
305,6,15,17,1.5
306,6,15,18,1.8
307,6,15,19,1.7
308,6,15,20,0.6
309,6,15,21,1.4
310,6,15,22,1.6
311,6,15,23,0.8
312,6,16,0,0.0
313,6,16,1,0.5
314,6,16,2,0.4
315,6,16,3,0.1
316,6,16,4,0.3
317,6,16,5,0.1
318,6,16,6,2.0
319,6,16,7,0.8
320,6,16,8,1.9
321,6,16,9,1.1
322,6,16,10,1.6
323,6,16,11,3.3
324,6,16,12,3.2
325,6,16,13,2.6
326,6,16,14,3.2
327,6,16,15,3.2
328,6,16,16,3.4
329,6,16,17,1.7
330,6,16,18,1.1
331,6,16,19,2.4
332,6,16,20,1.3
333,6,16,21,1.6
334,6,16,22,0.7
335,6,16,23,1.6
336,6,17,0,1.0
337,6,17,1,0.5
338,6,17,2,1.3
339,6,17,3,1.3
340,6,17,4,1.4
341,6,17,5,0.6
342,6,17,6,1.5
343,6,17,7,3.5
344,6,17,8,3.7
345,6,17,9,2.9
346,6,17,10,4.5
347,6,17,11,3.9
348,6,17,12,5.8
349,6,17,13,5.7
350,6,17,14,4.1
351,6,17,15,4.3
352,6,17,16,3.4
353,6,17,17,3.4
354,6,17,18,2.4
355,6,17,19,2.2
356,6,17,20,2.3
357,6,17,21,1.4
358,6,17,22,1.1
359,6,17,23,2.0
360,6,18,0,1.9
361,6,18,1,2.3
362,6,18,2,2.0
363,6,18,3,1.8
364,6,18,4,2.0
365,6,18,5,1.8
366,6,18,6,2.1
367,6,18,7,2.2
368,6,18,8,3.5
369,6,18,9,3.0
370,6,18,10,3.9
371,6,18,11,3.2
372,6,18,12,3.4
373,6,18,13,3.5
374,6,18,14,3.8
375,6,18,15,3.4
376,6,18,16,3.0
377,6,18,17,2.6
378,6,18,18,2.7
379,6,18,19,2.2
380,6,18,20,2.2
381,6,18,21,1.5
382,6,18,22,2.9
383,6,18,23,2.5
384,6,19,0,2.0
385,6,19,1,2.4
386,6,19,2,2.1
387,6,19,3,1.6
388,6,19,4,2.0
389,6,19,5,2.0
390,6,19,6,1.1
391,6,19,7,1.4
392,6,19,8,2.4
393,6,19,9,3.2
394,6,19,10,4.1
395,6,19,11,3.7
396,6,19,12,3.8
397,6,19,13,2.3
398,6,19,14,2.9
399,6,19,15,2.8
400,6,19,16,2.8
401,6,19,17,2.6
402,6,19,18,1.7
403,6,19,19,1.4
404,6,19,20,2.0
405,6,19,21,1.4
406,6,19,22,2.0
407,6,19,23,0.3
408,6,20,0,1.3
409,6,20,1,0.0
410,6,20,2,0.9
411,6,20,3,1.1
412,6,20,4,0.6
413,6,20,5,0.5
414,6,20,6,0.2
415,6,20,7,1.6
416,6,20,8,1.3
417,6,20,9,2.1
418,6,20,10,2.9
419,6,20,11,3.3
420,6,20,12,3.2
421,6,20,13,3.4
422,6,20,14,2.7
423,6,20,15,4.3
424,6,20,16,3.4
425,6,20,17,2.4
426,6,20,18,2.4
427,6,20,19,1.8
428,6,20,20,1.8
429,6,20,21,1.3
430,6,20,22,1.2
431,6,20,23,1.4
432,6,21,0,2.2
433,6,21,1,1.9
434,6,21,2,1.6
435,6,21,3,1.1
436,6,21,4,1.9
437,6,21,5,1.4
438,6,21,6,1.3
439,6,21,7,1.7
440,6,21,8,1.9
441,6,21,9,3.0
442,6,21,10,2.2
443,6,21,11,3.3
444,6,21,12,3.8
445,6,21,13,3.9
446,6,21,14,3.7
447,6,21,15,3.1
448,6,21,16,2.5
449,6,21,17,3.3
450,6,21,18,2.5
451,6,21,19,2.4
452,6,21,20,1.8
453,6,21,21,1.9
454,6,21,22,2.6
455,6,21,23,2.3
456,6,22,0,2.0
457,6,22,1,1.8
458,6,22,2,1.5
459,6,22,3,1.6
460,6,22,4,2.0
461,6,22,5,0.9
462,6,22,6,2.0
463,6,22,7,2.3
464,6,22,8,0.7
465,6,22,9,2.5
466,6,22,10,2.2
467,6,22,11,2.5
468,6,22,12,3.5
469,6,22,13,3.1
470,6,22,14,2.3
471,6,22,15,2.7
472,6,22,16,2.3
473,6,22,17,2.5
474,6,22,18,2.2
475,6,22,19,2.5
476,6,22,20,2.3
477,6,22,21,2.2
478,6,22,22,1.9
479,6,22,23,2.6
480,6,23,0,2.3
481,6,23,1,2.2
482,6,23,2,3.0
483,6,23,3,2.4
484,6,23,4,3.0
485,6,23,5,1.6
486,6,23,6,1.6
487,6,23,7,1.6
488,6,23,8,2.4
489,6,23,9,1.5
490,6,23,10,0.9
491,6,23,11,3.3
492,6,23,12,2.6
493,6,23,13,0.9
494,6,23,14,1.4
495,6,23,15,3.1
496,6,23,16,1.6
497,6,23,17,2.5
498,6,23,18,1.9
499,6,23,19,2.4
500,6,23,20,2.1
501,6,23,21,1.5
502,6,23,22,1.1
503,6,23,23,0.6
504,6,24,0,2.0
505,6,24,1,1.8
506,6,24,2,1.9
507,6,24,3,1.7
508,6,24,4,2.4
509,6,24,5,2.4
510,6,24,6,1.6
511,6,24,7,2.3
512,6,24,8,1.8
513,6,24,9,0.5
514,6,24,10,0.8
515,6,24,11,1.1
516,6,24,12,1.9
517,6,24,13,0.8
518,6,24,14,0.7
519,6,24,15,1.8
520,6,24,16,1.6
521,6,24,17,0.8
522,6,24,18,0.7
523,6,24,19,1.9
524,6,24,20,1.3
525,6,24,21,0.1
526,6,24,22,0.0
527,6,24,23,1.9
528,6,25,0,1.9
529,6,25,1,0.3
530,6,25,2,0.0
531,6,25,3,1.1
532,6,25,4,1.5
533,6,25,5,0.8
534,6,25,6,0.3
535,6,25,7,0.9
536,6,25,8,1.2
537,6,25,9,4.8
538,6,25,10,3.0
539,6,25,11,4.0
540,6,25,12,3.4
541,6,25,13,2.6
542,6,25,14,1.4
543,6,25,15,2.8
544,6,25,16,0.5
545,6,25,17,1.4
546,6,25,18,1.5
547,6,25,19,1.6
548,6,25,20,2.1
549,6,25,21,1.6
550,6,25,22,0.0
551,6,25,23,1.6
552,6,26,0,0.0
553,6,26,1,1.9
554,6,26,2,1.7
555,6,26,3,2.0
556,6,26,4,1.4
557,6,26,5,2.5
558,6,26,6,5.4
559,6,26,7,3.4
560,6,26,8,2.7
561,6,26,9,1.8
562,6,26,10,3.0
563,6,26,11,1.3
564,6,26,12,1.8
565,6,26,13,1.0
566,6,26,14,2.3
567,6,26,15,2.4
568,6,26,16,3.6
569,6,26,17,3.0
570,6,26,18,3.0
571,6,26,19,3.7
572,6,26,20,2.0
573,6,26,21,2.5
574,6,26,22,3.2
575,6,26,23,2.9
576,6,27,0,2.5
577,6,27,1,2.4
578,6,27,2,2.5
579,6,27,3,1.9
580,6,27,4,2.2
581,6,27,5,2.0
582,6,27,6,3.3
583,6,27,7,2.9
584,6,27,8,2.7
585,6,27,9,3.4
586,6,27,10,2.8
587,6,27,11,2.0
588,6,27,12,1.6
589,6,27,13,2.6
590,6,27,14,1.4
591,6,27,15,2.0
592,6,27,16,4.0
593,6,27,17,3.4
594,6,27,18,3.2
595,6,27,19,2.5
596,6,27,20,2.6
597,6,27,21,2.5
598,6,27,22,1.9
599,6,27,23,2.6
600,6,28,0,2.6
601,6,28,1,1.5
602,6,28,2,2.3
603,6,28,3,1.7
604,6,28,4,2.8
605,6,28,5,1.9
606,6,28,6,2.9
607,6,28,7,1.8
608,6,28,8,3.4
609,6,28,9,2.8
610,6,28,10,3.4
611,6,28,11,3.5
612,6,28,12,4.4
613,6,28,13,4.2
614,6,28,14,4.8
615,6,28,15,3.7
616,6,28,16,5.0
617,6,28,17,4.2
618,6,28,18,3.1
619,6,28,19,3.2
620,6,28,20,2.3
621,6,28,21,2.8
622,6,28,22,2.7
623,6,28,23,2.8
624,6,29,0,2.0
625,6,29,1,2.9
626,6,29,2,2.5
627,6,29,3,1.4
628,6,29,4,1.8
629,6,29,5,1.9
630,6,29,6,2.0
631,6,29,7,2.1
632,6,29,8,1.9
633,6,29,9,2.9
634,6,29,10,3.3
635,6,29,11,3.4
636,6,29,12,4.2
637,6,29,13,3.2
638,6,29,14,2.1
639,6,29,15,3.3
640,6,29,16,2.9
641,6,29,17,2.5
642,6,29,18,2.4
643,6,29,19,1.9
644,6,29,20,2.0
645,6,29,21,1.9
646,6,29,22,2.5
647,6,29,23,3.3
648,6,30,0,2.7
649,6,30,1,3.1
650,6,30,2,1.8
651,6,30,3,0.2
652,6,30,4,1.8
653,6,30,5,0.5
654,6,30,6,1.0
655,6,30,7,1.9
656,6,30,8,3.1
657,6,30,9,5.8
658,6,30,10,6.0
659,6,30,11,5.6
660,6,30,12,7.2
661,6,30,13,5.1
662,6,30,14,6.8
663,6,30,15,5.1
664,6,30,16,5.1
665,6,30,17,3.8
666,6,30,18,2.8
667,6,30,19,2.7
668,6,30,20,2.0
669,6,30,21,1.4
670,6,30,22,1.6
671,6,30,23,1.7
672,7,1,0,0.1
673,7,1,1,1.5
674,7,1,2,1.4
675,7,1,3,2.5
676,7,1,4,0.8
677,7,1,5,2.4
678,7,1,6,2.5
679,7,1,7,3.7
680,7,1,8,4.1
681,7,1,9,3.5
682,7,1,10,4.3
683,7,1,11,4.9
684,7,1,12,5.8
685,7,1,13,6.1
686,7,1,14,7.3
687,7,1,15,6.7
688,7,1,16,5.5
689,7,1,17,5.1
690,7,1,18,3.7
691,7,1,19,4.5
692,7,1,20,3.6
693,7,1,21,3.2
694,7,1,22,3.2
695,7,1,23,1.9
696,7,2,0,1.5
697,7,2,1,0.8
698,7,2,2,2.9
699,7,2,3,5.3
700,7,2,4,4.0
701,7,2,5,3.6
702,7,2,6,5.0
703,7,2,7,3.4
704,7,2,8,5.3
705,7,2,9,6.0
706,7,2,10,6.0
707,7,2,11,4.4
708,7,2,12,6.5
709,7,2,13,4.8
710,7,2,14,5.6
711,7,2,15,5.2
712,7,2,16,4.6
713,7,2,17,4.4
714,7,2,18,3.2
715,7,2,19,4.6
716,7,2,20,4.6
717,7,2,21,4.6
718,7,2,22,5.7
719,7,2,23,2.8
720,7,3,0,3.1
721,7,3,1,3.4
722,7,3,2,3.0
723,7,3,3,5.2
724,7,3,4,4.8
725,7,3,5,4.8
726,7,3,6,3.7
727,7,3,7,3.6
728,7,3,8,2.5
729,7,3,9,0.5
730,7,3,10,2.0
731,7,3,11,3.2
732,7,3,12,2.9
733,7,3,13,1.5
734,7,3,14,3.7
735,7,3,15,4.2
736,7,3,16,4.5
737,7,3,17,3.5
738,7,3,18,5.0
739,7,3,19,3.3
740,7,3,20,4.3
741,7,3,21,2.5
742,7,3,22,3.6
743,7,3,23,3.9
744,7,4,0,4.5
745,7,4,1,3.5
746,7,4,2,2.5
747,7,4,3,4.0
748,7,4,4,2.8
749,7,4,5,3.9
750,7,4,6,4.2
751,7,4,7,4.2
752,7,4,8,4.7
753,7,4,9,4.6
754,7,4,10,3.4
755,7,4,11,3.7
756,7,4,12,2.7
757,7,4,13,3.3
758,7,4,14,1.9
