,month,day,hour,ws
0,6,1,0,1.1
1,6,1,1,1.7
2,6,1,2,2.1
3,6,1,3,2.3
4,6,1,4,1.4
5,6,1,5,2.4
6,6,1,6,1.5
7,6,1,7,0.3
8,6,1,8,2.3
9,6,1,9,2.3
10,6,1,10,2.3
11,6,1,11,3.1
12,6,1,12,3.7
13,6,1,13,4.3
14,6,1,14,4.7
15,6,1,15,5.0
16,6,1,16,5.2
17,6,1,17,3.9
18,6,1,18,2.9
19,6,1,19,2.6
20,6,1,20,2.5
21,6,1,21,2.3
22,6,1,22,2.3
23,6,1,23,1.7
24,6,2,0,2.3
25,6,2,1,2.0
26,6,2,2,1.6
27,6,2,3,1.6
28,6,2,4,1.3
29,6,2,5,1.1
30,6,2,6,2.5
31,6,2,7,2.2
32,6,2,8,2.3
33,6,2,9,1.3
34,6,2,10,2.2
35,6,2,11,3.0
36,6,2,12,3.3
37,6,2,13,3.2
38,6,2,14,3.1
39,6,2,15,3.1
40,6,2,16,3.0
41,6,2,17,2.2
42,6,2,18,2.0
43,6,2,19,2.5
44,6,2,20,1.9
45,6,2,21,1.6
46,6,2,22,1.8
47,6,2,23,1.1
48,6,3,0,2.0
49,6,3,1,1.4
50,6,3,2,2.1
51,6,3,3,1.8
52,6,3,4,1.2
53,6,3,5,0.7
54,6,3,6,1.6
55,6,3,7,2.6
56,6,3,8,2.7
57,6,3,9,3.7
58,6,3,10,3.2
59,6,3,11,2.4
60,6,3,12,3.0
61,6,3,13,1.5
62,6,3,14,2.9
63,6,3,15,2.7
64,6,3,16,1.5
65,6,3,17,1.3
66,6,3,18,1.0
67,6,3,19,1.1
68,6,3,20,2.0
69,6,3,21,2.0
70,6,3,22,1.5
71,6,3,23,2.1
72,6,4,0,1.3
73,6,4,1,2.4
74,6,4,2,1.3
75,6,4,3,1.9
76,6,4,4,1.8
77,6,4,5,2.0
78,6,4,6,1.8
79,6,4,7,1.2
80,6,4,8,1.8
81,6,4,9,1.3
82,6,4,10,0.9
83,6,4,11,1.7
84,6,4,12,2.2
85,6,4,13,0.9
86,6,4,14,3.3
87,6,4,15,2.0
88,6,4,16,1.5
89,6,4,17,2.4
90,6,4,18,1.6
91,6,4,19,0.1
92,6,4,20,1.3
93,6,4,21,1.0
94,6,4,22,0.8
95,6,4,23,0.8
96,6,5,0,1.1
97,6,5,1,1.4
98,6,5,2,0.1
99,6,5,3,0.1
100,6,5,4,0.9
101,6,5,5,1.1
102,6,5,6,1.9
103,6,5,7,2.2
104,6,5,8,2.0
105,6,5,9,1.9
106,6,5,10,2.7
107,6,5,11,2.1
108,6,5,12,3.1
109,6,5,13,2.5
110,6,5,14,2.6
111,6,5,15,2.2
112,6,5,16,2.5
113,6,5,17,1.8
114,6,5,18,1.9
115,6,5,19,0.1
116,6,5,20,0.8
117,6,5,21,2.2
118,6,5,22,0.4
119,6,5,23,1.8
120,6,6,0,1.7
121,6,6,1,1.8
122,6,6,2,2.9
123,6,6,3,2.0
124,6,6,4,1.3
125,6,6,5,1.7
126,6,6,6,2.9
127,6,6,7,3.1
128,6,6,8,3.8
129,6,6,9,5.6
130,6,6,10,4.7
131,6,6,11,5.2
132,6,6,12,5.8
133,6,6,13,5.7
134,6,6,14,5.8
135,6,6,15,5.6
136,6,6,16,4.2
137,6,6,17,3.4
138,6,6,18,2.8
139,6,6,19,2.7
140,6,6,20,3.1
141,6,6,21,3.0
142,6,6,22,2.9
143,6,6,23,2.3
144,6,7,0,2.3
145,6,7,1,2.5
146,6,7,2,2.3
147,6,7,3,2.9
148,6,7,4,3.7
149,6,7,5,2.4
150,6,7,6,3.2
151,6,7,7,3.0
152,6,7,8,3.3
153,6,7,9,3.9
154,6,7,10,4.1
155,6,7,11,4.7
156,6,7,12,4.1
157,6,7,13,4.7
158,6,7,14,3.9
159,6,7,15,4.3
160,6,7,16,2.4
161,6,7,17,2.4
162,6,7,18,1.3
163,6,7,19,2.5
164,6,7,20,1.1
165,6,7,21,0.1
166,6,7,22,1.0
167,6,7,23,1.0
168,6,8,0,1.5
169,6,8,1,1.5
170,6,8,2,1.2
171,6,8,3,2.1
172,6,8,4,1.0
173,6,8,5,1.1
174,6,8,6,1.8
175,6,8,7,2.0
176,6,8,8,2.4
177,6,8,9,1.8
178,6,8,10,2.2
179,6,8,11,2.7
180,6,8,12,3.2
181,6,8,13,4.2
182,6,8,14,3.9
183,6,8,15,2.3
184,6,8,16,1.2
185,6,8,17,2.8
186,6,8,18,2.6
187,6,8,19,1.6
188,6,8,20,1.9
189,6,8,21,1.9
190,6,8,22,2.2
191,6,8,23,2.5
192,6,9,0,2.5
193,6,9,1,1.7
194,6,9,2,2.5
195,6,9,3,1.6
196,6,9,4,2.4
197,6,9,5,2.9
198,6,9,6,1.8
199,6,9,7,3.2
200,6,9,8,0.2
201,6,9,9,1.4
202,6,9,10,2.6
203,6,9,11,4.5
204,6,9,12,1.6
205,6,9,13,2.7
206,6,9,14,3.6
207,6,9,15,1.8
208,6,9,16,1.9
209,6,9,17,0.9
210,6,9,18,1.4
211,6,9,19,1.0
212,6,9,20,1.9
213,6,9,21,2.3
214,6,9,22,2.7
215,6,9,23,1.7
216,6,10,0,2.1
217,6,10,1,1.3
218,6,10,2,1.8
219,6,10,3,1.3
220,6,10,4,1.1
221,6,10,5,2.0
222,6,10,6,1.9
223,6,10,7,1.9
224,6,10,8,2.5
225,6,10,9,3.0
226,6,10,10,3.8
227,6,10,11,3.4
228,6,10,12,2.2
229,6,10,13,2.3
230,6,10,14,4.3
231,6,10,15,1.6
232,6,10,16,3.0
233,6,10,17,2.6
234,6,10,18,3.0
235,6,10,19,3.3
236,6,10,20,2.9
237,6,10,21,2.9
238,6,10,22,3.6
239,6,10,23,2.7
240,6,11,0,3.0
241,6,11,1,3.8
242,6,11,2,2.2
243,6,11,3,3.3
244,6,11,4,3.5
245,6,11,5,3.0
246,6,11,6,3.8
247,6,11,7,4.1
248,6,11,8,3.8
249,6,11,9,2.0
250,6,11,10,3.9
251,6,11,11,2.5
252,6,11,12,1.9
253,6,11,13,1.7
254,6,11,14,2.2
255,6,11,15,1.4
256,6,11,16,2.2
257,6,11,17,2.5
258,6,11,18,2.6
259,6,11,19,1.3
260,6,11,20,0.1
261,6,11,21,1.6
262,6,11,22,1.6
263,6,11,23,2.8
264,6,12,0,2.0
265,6,12,1,1.1
266,6,12,2,2.9
267,6,12,3,0.5
268,6,12,4,1.9
269,6,12,5,3.9
270,6,12,6,3.7
271,6,12,7,2.5
272,6,12,8,3.2
273,6,12,9,3.3
274,6,12,10,4.1
275,6,12,11,3.3
276,6,12,12,2.8
277,6,12,13,2.7
278,6,12,14,2.8
279,6,12,15,2.3
280,6,12,16,1.6
281,6,12,17,2.4
282,6,12,18,1.3
283,6,12,19,1.1
284,6,12,20,1.1
285,6,12,21,1.7
286,6,12,22,0.9
287,6,12,23,0.2
288,6,13,0,1.1
289,6,13,1,1.0
290,6,13,2,1.4
291,6,13,3,1.8
292,6,13,4,1.7
293,6,13,5,2.8
294,6,13,6,1.6
295,6,13,7,1.4
296,6,13,8,1.3
297,6,13,9,1.5
298,6,13,10,2.2
299,6,13,11,4.0
300,6,13,12,4.8
301,6,13,13,4.7
302,6,13,14,3.2
303,6,13,15,4.0
304,6,13,16,3.3
305,6,13,17,2.9
306,6,13,18,2.5
307,6,13,19,1.5
308,6,13,20,3.0
309,6,13,21,1.0
310,6,13,22,2.9
311,6,13,23,2.0
312,6,14,0,3.8
313,6,14,1,1.8
314,6,14,2,1.4
315,6,14,3,2.9
316,6,14,4,1.0
317,6,14,5,2.7
318,6,14,6,2.0
319,6,14,7,2.0
320,6,14,8,1.8
321,6,14,9,1.0
322,6,14,10,3.4
323,6,14,11,1.7
324,6,14,12,2.5
325,6,14,13,2.4
326,6,14,14,1.8
327,6,14,15,1.4
328,6,14,16,3.0
329,6,14,17,3.7
330,6,14,18,3.8
331,6,14,19,3.6
332,6,14,20,2.2
333,6,14,21,1.8
334,6,14,22,1.3
335,6,14,23,0.3
336,6,15,0,2.0
337,6,15,1,2.2
338,6,15,2,2.6
339,6,15,3,2.0
340,6,15,4,2.0
341,6,15,5,1.5
342,6,15,6,2.2
343,6,15,7,2.0
344,6,15,8,2.2
345,6,15,9,2.8
346,6,15,10,1.6
347,6,15,11,2.2
348,6,15,12,3.2
349,6,15,13,4.1
350,6,15,14,4.2
351,6,15,15,2.4
352,6,15,16,1.9
353,6,15,17,1.5
354,6,15,18,1.8
355,6,15,19,1.7
356,6,15,20,0.6
357,6,15,21,1.4
358,6,15,22,1.6
359,6,15,23,0.8
360,6,16,0,0.0
361,6,16,1,0.5
362,6,16,2,0.4
363,6,16,3,0.1
364,6,16,4,0.3
365,6,16,5,0.1
366,6,16,6,2.0
367,6,16,7,0.8
368,6,16,8,1.9
369,6,16,9,1.1
370,6,16,10,1.6
371,6,16,11,3.3
372,6,16,12,3.2
373,6,16,13,2.6
374,6,16,14,3.2
375,6,16,15,3.2
376,6,16,16,3.4
377,6,16,17,1.7
378,6,16,18,1.1
379,6,16,19,2.4
380,6,16,20,1.3
381,6,16,21,1.6
382,6,16,22,0.7
383,6,16,23,1.6
384,6,17,0,1.0
385,6,17,1,0.5
386,6,17,2,1.3
387,6,17,3,1.3
388,6,17,4,1.4
389,6,17,5,0.6
390,6,17,6,1.5
391,6,17,7,3.5
392,6,17,8,3.7
393,6,17,9,2.9
394,6,17,10,4.5
395,6,17,11,3.9
396,6,17,12,5.8
397,6,17,13,5.7
398,6,17,14,4.1
399,6,17,15,4.3
400,6,17,16,3.4
401,6,17,17,3.4
402,6,17,18,2.4
403,6,17,19,2.2
404,6,17,20,2.3
405,6,17,21,1.4
406,6,17,22,1.1
407,6,17,23,2.0
408,6,18,0,1.9
409,6,18,1,2.3
410,6,18,2,2.0
411,6,18,3,1.8
412,6,18,4,2.0
413,6,18,5,1.8
414,6,18,6,2.1
415,6,18,7,2.2
416,6,18,8,3.5
417,6,18,9,3.0
418,6,18,10,3.9
419,6,18,11,3.2
420,6,18,12,3.4
421,6,18,13,3.5
422,6,18,14,3.8
423,6,18,15,3.4
424,6,18,16,3.0
425,6,18,17,2.6
426,6,18,18,2.7
427,6,18,19,2.2
428,6,18,20,2.2
429,6,18,21,1.5
430,6,18,22,2.9
431,6,18,23,2.5
432,6,19,0,2.0
433,6,19,1,2.4
434,6,19,2,2.1
435,6,19,3,1.6
436,6,19,4,2.0
437,6,19,5,2.0
438,6,19,6,1.1
439,6,19,7,1.4
440,6,19,8,2.4
441,6,19,9,3.2
442,6,19,10,4.1
443,6,19,11,3.7
444,6,19,12,3.8
445,6,19,13,2.3
446,6,19,14,2.9
447,6,19,15,2.8
448,6,19,16,2.8
449,6,19,17,2.6
450,6,19,18,1.7
451,6,19,19,1.4
452,6,19,20,2.0
453,6,19,21,1.4
454,6,19,22,2.0
455,6,19,23,0.3
456,6,20,0,1.3
457,6,20,1,0.0
458,6,20,2,0.9
459,6,20,3,1.1
460,6,20,4,0.6
461,6,20,5,0.5
462,6,20,6,0.2
463,6,20,7,1.6
464,6,20,8,1.3
465,6,20,9,2.1
466,6,20,10,2.9
467,6,20,11,3.3
468,6,20,12,3.2
469,6,20,13,3.4
470,6,20,14,2.7
471,6,20,15,4.3
472,6,20,16,3.4
473,6,20,17,2.4
474,6,20,18,2.4
475,6,20,19,1.8
476,6,20,20,1.8
477,6,20,21,1.3
478,6,20,22,1.2
479,6,20,23,1.4
480,6,21,0,2.2
481,6,21,1,1.9
482,6,21,2,1.6
483,6,21,3,1.1
484,6,21,4,1.9
485,6,21,5,1.4
486,6,21,6,1.3
487,6,21,7,1.7
488,6,21,8,1.9
489,6,21,9,3.0
490,6,21,10,2.2
491,6,21,11,3.3
492,6,21,12,3.8
493,6,21,13,3.9
494,6,21,14,3.7
495,6,21,15,3.1
496,6,21,16,2.5
497,6,21,17,3.3
498,6,21,18,2.5
499,6,21,19,2.4
500,6,21,20,1.8
501,6,21,21,1.9
502,6,21,22,2.6
503,6,21,23,2.3
504,6,22,0,2.0
505,6,22,1,1.8
506,6,22,2,1.5
507,6,22,3,1.6
508,6,22,4,2.0
509,6,22,5,0.9
510,6,22,6,2.0
511,6,22,7,2.3
512,6,22,8,0.7
513,6,22,9,2.5
514,6,22,10,2.2
515,6,22,11,2.5
516,6,22,12,3.5
517,6,22,13,3.1
518,6,22,14,2.3
519,6,22,15,2.7
520,6,22,16,2.3
521,6,22,17,2.5
522,6,22,18,2.2
523,6,22,19,2.5
524,6,22,20,2.3
525,6,22,21,2.2
526,6,22,22,1.9
527,6,22,23,2.6
528,6,23,0,2.3
529,6,23,1,2.2
530,6,23,2,3.0
531,6,23,3,2.4
532,6,23,4,3.0
533,6,23,5,1.6
534,6,23,6,1.6
535,6,23,7,1.6
536,6,23,8,2.4
537,6,23,9,1.5
538,6,23,10,0.9
539,6,23,11,3.3
540,6,23,12,2.6
541,6,23,13,0.9
542,6,23,14,1.4
543,6,23,15,3.1
544,6,23,16,1.6
545,6,23,17,2.5
546,6,23,18,1.9
547,6,23,19,2.4
548,6,23,20,2.1
549,6,23,21,1.5
550,6,23,22,1.1
551,6,23,23,0.6
552,6,24,0,2.0
553,6,24,1,1.8
554,6,24,2,1.9
555,6,24,3,1.7
556,6,24,4,2.4
557,6,24,5,2.4
558,6,24,6,1.6
559,6,24,7,2.3
560,6,24,8,1.8
561,6,24,9,0.5
562,6,24,10,0.8
563,6,24,11,1.1
564,6,24,12,1.9
565,6,24,13,0.8
566,6,24,14,0.7
567,6,24,15,1.8
568,6,24,16,1.6
569,6,24,17,0.8
570,6,24,18,0.7
571,6,24,19,1.9
572,6,24,20,1.3
573,6,24,21,0.1
574,6,24,22,0.0
575,6,24,23,1.9
576,6,25,0,1.9
577,6,25,1,0.3
578,6,25,2,0.0
579,6,25,3,1.1
580,6,25,4,1.5
581,6,25,5,0.8
582,6,25,6,0.3
583,6,25,7,0.9
584,6,25,8,1.2
585,6,25,9,4.8
586,6,25,10,3.0
587,6,25,11,4.0
588,6,25,12,3.4
589,6,25,13,2.6
590,6,25,14,1.4
591,6,25,15,2.8
592,6,25,16,0.5
593,6,25,17,1.4
594,6,25,18,1.5
595,6,25,19,1.6
596,6,25,20,2.1
597,6,25,21,1.6
598,6,25,22,0.0
599,6,25,23,1.6
600,6,26,0,0.0
601,6,26,1,1.9
602,6,26,2,1.7
603,6,26,3,2.0
604,6,26,4,1.4
605,6,26,5,2.5
606,6,26,6,5.4
607,6,26,7,3.4
608,6,26,8,2.7
609,6,26,9,1.8
610,6,26,10,3.0
611,6,26,11,1.3
612,6,26,12,1.8
613,6,26,13,1.0
614,6,26,14,2.3
615,6,26,15,2.4
616,6,26,16,3.6
617,6,26,17,3.0
618,6,26,18,3.0
619,6,26,19,3.7
620,6,26,20,2.0
621,6,26,21,2.5
622,6,26,22,3.2
623,6,26,23,2.9
624,6,27,0,2.5
625,6,27,1,2.4
626,6,27,2,2.5
627,6,27,3,1.9
628,6,27,4,2.2
629,6,27,5,2.0
630,6,27,6,3.3
631,6,27,7,2.9
632,6,27,8,2.7
633,6,27,9,3.4
634,6,27,10,2.8
635,6,27,11,2.0
636,6,27,12,1.6
637,6,27,13,2.6
638,6,27,14,1.4
639,6,27,15,2.0
640,6,27,16,4.0
641,6,27,17,3.4
642,6,27,18,3.2
643,6,27,19,2.5
644,6,27,20,2.6
645,6,27,21,2.5
646,6,27,22,1.9
647,6,27,23,2.6
648,6,28,0,2.6
649,6,28,1,1.5
650,6,28,2,2.3
651,6,28,3,1.7
652,6,28,4,2.8
653,6,28,5,1.9
654,6,28,6,2.9
655,6,28,7,1.8
656,6,28,8,3.4
657,6,28,9,2.8
658,6,28,10,3.4
659,6,28,11,3.5
660,6,28,12,4.4
661,6,28,13,4.2
662,6,28,14,4.8
663,6,28,15,3.7
664,6,28,16,5.0
665,6,28,17,4.2
666,6,28,18,3.1
667,6,28,19,3.2
668,6,28,20,2.3
669,6,28,21,2.8
670,6,28,22,2.7
671,6,28,23,2.8
672,6,29,0,2.0
673,6,29,1,2.9
674,6,29,2,2.5
675,6,29,3,1.4
676,6,29,4,1.8
677,6,29,5,1.9
678,6,29,6,2.0
679,6,29,7,2.1
680,6,29,8,1.9
681,6,29,9,2.9
682,6,29,10,3.3
683,6,29,11,3.4
684,6,29,12,4.2
685,6,29,13,3.2
686,6,29,14,2.1
687,6,29,15,3.3
688,6,29,16,2.9
689,6,29,17,2.5
690,6,29,18,2.4
691,6,29,19,1.9
692,6,29,20,2.0
693,6,29,21,1.9
694,6,29,22,2.5
695,6,29,23,3.3
696,6,30,0,2.7
697,6,30,1,3.1
698,6,30,2,1.8
699,6,30,3,0.2
700,6,30,4,1.8
701,6,30,5,0.5
702,6,30,6,1.0
703,6,30,7,1.9
704,6,30,8,3.1
705,6,30,9,5.8
706,6,30,10,6.0
707,6,30,11,5.6
708,6,30,12,7.2
709,6,30,13,5.1
710,6,30,14,6.8
711,6,30,15,5.1
712,6,30,16,5.1
713,6,30,17,3.8
714,6,30,18,2.8
715,6,30,19,2.7
716,6,30,20,2.0
717,6,30,21,1.4
718,6,30,22,1.6
719,6,30,23,1.7
720,7,1,0,0.1
721,7,1,1,1.5
722,7,1,2,1.4
723,7,1,3,2.5
724,7,1,4,0.8
725,7,1,5,2.4
726,7,1,6,2.5
727,7,1,7,3.7
728,7,1,8,4.1
729,7,1,9,3.5
730,7,1,10,4.3
731,7,1,11,4.9
732,7,1,12,5.8
733,7,1,13,6.1
734,7,1,14,7.3
735,7,1,15,6.7
736,7,1,16,5.5
737,7,1,17,5.1
738,7,1,18,3.7
739,7,1,19,4.5
740,7,1,20,3.6
741,7,1,21,3.2
742,7,1,22,3.2
743,7,1,23,1.9
744,7,2,0,1.5
745,7,2,1,0.8
746,7,2,2,2.9
747,7,2,3,5.3
748,7,2,4,4.0
749,7,2,5,3.6
750,7,2,6,5.0
751,7,2,7,3.4
752,7,2,8,5.3
753,7,2,9,6.0
754,7,2,10,6.0
755,7,2,11,4.4
756,7,2,12,6.5
757,7,2,13,4.8
758,7,2,14,5.6
