,month,day,hour,pm1.0,pm2.5,pm10.0,temp,humidity
0,6,1,0,10.666666666666666,13.666666666666666,13.666666666666666,26.0,63.666666666666664
1,6,1,1,12.75,16.0,16.0,26.0,64.75
2,6,1,2,11.0,14.5,14.5,26.0,64.75
3,6,1,3,12.0,16.0,16.25,26.0,67.75
4,6,1,4,15.0,21.75,22.0,26.0,72.5
5,6,1,5,13.0,18.0,18.0,26.0,73.0
6,6,1,6,13.0,18.0,18.5,26.0,72.0
7,6,1,7,9.75,13.0,13.0,28.0,64.5
8,6,1,8,7.0,8.25,8.5,29.0,59.25
9,6,1,9,7.5,10.0,10.0,29.0,60.25
10,6,1,10,7.25,8.0,8.0,29.75,55.25
11,6,1,11,8.25,9.5,9.5,30.0,52.75
12,6,1,12,7.0,8.5,8.75,30.0,52.0
13,6,1,13,4.5,5.25,5.25,29.0,50.0
14,6,1,14,3.0,3.5,3.5,28.0,53.75
15,6,1,15,3.0,3.0,3.0,28.0,53.25
16,6,1,16,1.5,1.5,1.5,28.0,54.25
17,6,1,17,1.25,1.5,1.5,27.0,55.0
18,6,1,18,1.75,2.0,2.0,28.0,62.25
19,6,1,19,1.75,2.25,2.25,27.5,63.75
20,6,1,20,1.5,1.5,1.5,27.0,63.5
21,6,1,21,1.5,1.5,1.5,27.0,64.5
22,6,1,22,1.0,1.75,2.0,27.0,69.5
23,6,1,23,3.5,4.75,4.75,27.0,67.0
24,6,2,0,3.75,4.5,4.5,27.0,67.0
25,6,2,1,4.0,4.25,4.25,27.0,66.75
26,6,2,2,4.0,5.0,5.0,27.0,66.5
27,6,2,3,3.75,5.0,5.0,26.75,66.5
28,6,2,4,5.25,6.0,6.25,26.5,68.75
29,6,2,5,5.75,7.0,7.5,26.0,68.75
30,6,2,6,4.75,6.0,6.0,26.25,68.25
31,6,2,7,3.75,4.5,4.5,26.5,66.5
32,6,2,8,5.75,7.25,7.25,27.0,69.0
33,6,2,9,6.5,7.25,7.25,27.75,66.0
34,6,2,10,4.75,5.5,5.5,28.75,58.5
35,6,2,11,4.0,4.25,4.25,29.0,56.25
36,6,2,12,2.0,2.5,2.5,29.0,54.5
37,6,2,13,2.0,2.25,2.25,27.75,54.25
38,6,2,14,2.5,3.25,3.25,28.0,55.0
39,6,2,15,1.75,2.25,2.25,28.0,54.25
40,6,2,16,1.75,2.25,2.25,28.0,51.75
41,6,2,17,3.0,3.75,3.75,28.0,56.0
